,query,value
0,masakan untuk buka puasa,42200
1,resep masakan buka puasa dan sahur selama 30 hari,11700
2,resep masakan buka puasa,2650
3,menu masakan buka puasa,550
4,resep masakan dari tahu,350
5,resep masakan kikil sapi,300
6,aplikasi resep masakan,250
7,resep masakan sayuran,170
8,resep masakan kentang,150
9,resep masakan rumahan sederhana,130
10,resep masakan ikan kembung,130
11,resep masakan simple,120
12,resep masakan opor ayam,120
13,resep masakan tahu putih,120
14,aneka resep masakan ayam,110
15,resep masakan ayam pedas,100
16,aneka resep masakan tahu,100
17,resep masakan indonesia sehari hari,100
18,resep masakan daging sapi,90
19,resep masakan sehari-hari mudah dan praktis,90
20,resep masakan capcay,90
21,resep masakan jamur enoki,90
22,resep masakan dari ayam,80
23,kumpulan resep masakan,80
24,resep masakan rumah,80
